State,2007,2016,Percent Change,population_2016,population 2007,,,,
AK,1642,1940,18%,741894,710249,,,,
AL,5452,4111,-25%,4863300,4780127,,,,
AR,3836,2463,-36%,2988248,2915958,,,,
AZ,14646,9707,-34%,6931071,6392307,,,,
CA,138986,118142,-15%,39250017,37254503,,,,
CO,14225,10550,-26%,5540545,5029324,,,,
CT,4482,3902,-13%,3576452,3574118,,,,
DC,5320,8350,57%,952065,897936,,,,
DE,1061,1070,1%,681170,601767,,,,
FL,48069,33559,-30%,20612439,18804623,,,,
GA,19639,12909,-34%,10310371,9688681,,,,
HI,6070,7921,30%,1428557,1360301,,,,
IA,2734,3064,12%,3134693,3046869,,,,
ID,1749,2247,28%,1683140,1567652,,,,
IL,15487,11590,-25%,12801539,12831549,,,,
IN,7358,5798,-21%,6633053,6484229,,,,
KS,1924,2008,4%,2907289,2853132,,,,
KY,8061,4237,-47%,4436974,4339349,,,,
LA,5494,3994,-27%,4681666,4533479,,,,
MA,15127,19608,30%,6811779,6547817,,,,
MD,9628,7689,-20%,6016447,5773785,,,,
ME,2638,2241,-15%,1331479,1328361,,,,
MI,28295,9316,-67%,9928300,9884129,,,,
MN,7323,7341,0%,5519952,5303925,,,,
MO,6434,6441,0%,6093000,5988927,,,,
MS,1377,1738,26%,2988726,2968103,,,,
MT,1150,1418,23%,1042520,989417,,,,
NC,11802,9559,-19%,10146788,9535692,,,,
ND,636,923,45%,757952,672591,,,,
NE,3531,2754,-22%,1907116,1826341,,,,
NH,2248,1366,-39%,1334795,1316466,,,,
NJ,17314,8895,-49%,8944469,8791936,,,,
NM,3015,2263,-25%,2081015,2059192,,,,
NV,8642,7398,-14%,2940058,2700691,,,,
NY,62601,86352,38%,19745289,19378087,,,,
OH,11264,10404,-8%,11614373,11536725,,,,
OK,4221,4107,-3%,3923561,3751616,,,,
OR,17590,13238,-25%,4093465,3831073,,,,
PA,16220,15339,-5%,12784227,12702887,,,,
RI,1372,1160,-15%,1056426,1052931,,,,
SC,5660,5051,-11%,4961119,4625401,,,,
SD,579,1072,85%,865454,814191,,,,
TN,11210,8779,-22%,6651194,6346275,,,,
TX,39788,23122,-42%,27862596,25146105,,,,
UT,3011,2807,-7%,3051217,2763888,,,,
VA,9746,6268,-36%,8411808,8001045,,,,
VT,1035,1117,8%,624594,625745,,,,
WA,23379,20827,-11%,7288000,6724543,,,,
WI,5648,5685,1%,1831102,1853011,,,,
WV,2409,1387,-42%,5778708,5687289,,,,
WY,537,857,60%,585501,563767,,,,
,,,,,,,,,
