State,avg_temp_F,prcp_in,days_snowed,in_snow
Alabama,62.8,58.3,0.8,1.6
Alaska,26.6,22.5,48,74.5
Arizona,60.3,13.6,0.3,0.3
Arkansas,60.4,50.6,3.8,5.2
California,59.4,22.2,0,0
Colorado,45.1,15.9,19.1,19.1
Connecticut,49,50.3,20.1,40.5
Delaware,55.3,45.7,11.8,20.2
Florida,70.7,54.5,0,0
Georgia,63.5,50.7,0.7,0.7
Hawaii,70,63.7,0,0
Idaho,44.4,18.9,19.4,19.2
Illinois,51.8,39.2,19.9,24.6
Indiana,51.7,41.7,23.5,25.9
Iowa,47.8,34,26.2,34.9
Kansas,54.3,28.9,10,14.7
Kentucky,55.6,48.9,11.8,12.5
Louisiana,66.4,60.1,0.1,0
Maine,41,42.2,27.8,61.8
Maryland,54.2,44.5,9.6,20.2
Massachusetts,47.9,47.7,22.4,43.8
Michigan,44.4,32.8,44.7,51.1
Minnesota,41.2,27.3,37.3,54
Mississippi,63.4,59,0.6,0.9
Missouri,54.5,42.2,11.5,17
Montana,42.7,15.3,32.9,38.1
Nebraska,48.8,23.6,18.3,25.9
Nevada,49.9,9.5,16.3,21.8
New Hampshire,43.8,43.4,29.8,60.8
New Jersey,52.7,47.1,8.7,16.5
New Mexico,53.4,14.6,9.5,9.6
New York,45.4,41.8,66.4,123.8
North Carolina,59,50.3,3.9,7.6
North Dakota,40.4,17.8,45.2,51.2
Ohio,50.7,39.1,30.4,27.5
Oklahoma,59.6,36.5,5.6,7.8
Oregon,48.4,27.4,2.2,3
Pennsylvania,48.8,42.9,19.4,28.2
Rhode Island,50.1,47.9,18.7,33.8
South Carolina,62.4,49.8,0.3,0.5
South Dakota,45.2,20.1,30.1,43.9
Tennessee,57.6,54.2,6.2,6.3
Texas,64.8,28.9,1.3,1.5
Utah,48.6,12.2,34.8,56.2
Vermont,42.9,42.7,54.4,81.2
Virginia,55.1,44.3,6.1,10.3
Washington,48.3,38.4,3,5
West Virginia,51.8,45.2,37.7,62
Wisconsin,43.1,32.6,38.7,50.9
Wyoming,42,12.9,36.7,91.4
